id,species,site,ind,leaf,SLA,LDMC,year
BETPOP_HF_3A_2,BETPOP,HF,3A,2,26.44323059,295.6852792,2019
VIBCAS_SH_1A_1,VIBCAS,SH,1A,1,17.37778442,295.9734513,2019
DIELON_HF_2B_2,DIELON,HF,2B,2,23.72242226,296.3659999,2019
VIBCAS_GR_12A_2,VIBCAS,GR,12A,2,17.30508475,296.5569239,2022
SPIALB_HF_4A_1,SPIALB,HF,4A,1,28.26882845,296.572049,2019
AROMEL_WM_15_1,AROMEL,WM,15,1,20.99828725,297.0851203,2019
BETALL_GR_12_1,BETALL,GR,12,1,20.4288771,297.1799834,2019
VIBCAS_GR_5_1,VIBCAS,GR,5,1,15.846106,297.344782,2019
SPIALB_WM_7A_2,SPIALB,WM,7A,2,38.3158476,297.3727422,2019
BETPAP_GR_5B_2,BETPAP,GR,5B,2,16.09701127,297.5218659,2019
ACESPI_GR_4_1,ACESPI,GR,4,1,28.13498487,297.8825996,2019
BETPOP_WM_7_1,BETPOP,WM,7,1,20.67937289,298.1941516,2019
DIELON_WM_1A_2,DIELON,WM,1A,2,25.68929036,298.3972802,2019
ALNINC_HF_9_1,ALNINC,HF,9,1,20.28364621,298.6467487,2019
VIBCAS_GR_12B_1,VIBCAS,GR,12B,1,16.01456554,298.679868,2022
VIBCAS_WM_9A_2,VIBCAS,WM,9A,2,17.33825598,298.7520484,2022
DIELON_WM_1C_2,DIELON,WM,1C,2,24.77861838,298.7734835,2019
BETPAP_GR_5_1,BETPAP,GR,5,1,21.39927405,298.915009,2019
MYRGAL_WM_6A_1,MYRGAL,WM,6A,1,21.86696478,299.1638796,2019
BETALL_GR_13_1,BETALL,GR,13,1,19.45094926,299.3465347,2019
SPIALB_WM_2A_2,SPIALB,WM,2A,2,31.51372549,299.3660484,2019
ALNINC_SH_5_1,ALNINC,SH,5,1,19.77351598,299.3984688,2019
BETALL_WM_8_1,BETALL,WM,8,1,25.96728516,299.5027786,2022
DIELON_GR_5B_1,DIELON,GR,5B,1,22.73654976,299.5936533,2019
BETALL_GR_12_2,BETALL,GR,12,2,20.40088518,299.7882167,2019
SPIALB_WM_2A_1,SPIALB,WM,2A,1,29.05225864,300.0265745,2019
BETPOP_HF_1_2,BETPOP,HF,1,2,20.21598017,300.0779147,2019
VIBCAS_SH_1A_1,VIBCAS,SH,1A,1,17.85514019,300.5248653,2022
DIELON_GR_5A_1,DIELON,GR,5A,1,20.51680027,300.6666667,2019
DIELON_WM_1C_1,DIELON,WM,1C,1,24.814854,300.9041131,2019
BETPOP_GR_5B_1,BETPOP,GR,5B,1,19.81223548,301.0192263,2019
SORAME_GR_9C_1,SORAME,GR,9C,1,17.18528252,301.0880317,2019
VIBCAS_WM_10_2,VIBCAS,WM,10,2,13.95106298,301.170615,2022
BETPAP_GR_8_2,BETPAP,GR,8,2,19.60355542,301.2487856,2019
BETPAP_HF_16B_1,BETPAP,HF,16B,1,22.02113063,301.4684592,2019
BETALL_SH_2_2,BETALL,SH,2,2,23.72805433,301.546841,2019
VIBCAS_GR_12A_2,VIBCAS,GR,12A,2,16.18428131,301.5781711,2019
MYRGAL_SH_1_1,MYRGAL,SH,1,1,23.34739454,301.8726592,2022
VIBCAS_GR_12A_1,VIBCAS,GR,12A,1,16.63090719,301.9435216,2019
ALNINC_GR_11A_1,ALNINC,GR,11A,1,23.37112995,302.1149836,2019
VIBCAS_WM_10_1,VIBCAS,WM,10,1,15.6,302.2466638,2022
ALNINC_WM_2A_1,ALNINC,WM,2A,1,18.62690783,302.3152709,2019
BETALL_WM_8B_2,BETALL,WM,8B,2,21.46461313,302.3281596,2019
BETPAP_HF_16B_2,BETPAP,HF,16B,2,21.34427828,302.4210397,2019
ALNINC_WM_2A_2,ALNINC,WM,2A,2,21.25872525,302.4224247,2019
SORAME_GR_9B_2,SORAME,GR,9B,2,20.32237214,302.6161369,2019
AROMEL_WM_2_2,AROMEL,WM,2,2,18.50546306,302.6771654,2019
BETALL_SH_2_1,BETALL,SH,2,1,19.57982012,302.8944381,2019
SPITOM_SH_9_2,SPITOM,SH,9,2,30.72961373,302.9908973,2019
AROMEL_WM_2_1,AROMEL,WM,2,1,20.32695957,303.3160668,2019
ALNINC_GR_11_1,ALNINC,GR,11,1,20.24496058,303.3868379,2019
BETALL_WM_8B_1,BETALL,WM,8B,1,22.09264645,303.5308953,2019
BETALL_SH_7_2,BETALL,SH,7,2,21.11838221,303.7694676,2019
VIBCAS_WM_9B_1,VIBCAS,WM,9B,1,14.79840111,304.0422721,2019
DIELON_SH_2B_2,DIELON,SH,2B,2,21.97106792,304.1277391,2019
AROMEL_HF_12_2,AROMEL,HF,12,2,21.1402214,304.1526375,2022
VIBCAS_WM_7_1,VIBCAS,WM,7,1,19.49308756,304.3834015,2019
VIBCAS_GR_5_2,VIBCAS,GR,5,2,16.86688525,304.3912176,2019
ALNINC_WM_1_1,ALNINC,WM,1,1,20.8242142,304.4371988,2019
VACMYR_WM_5_2,VACMYR,WM,5,2,22.72609819,304.4846577,2019
DIELON_SH_2A_2,DIELON,SH,2A,2,31.44717887,304.5147139,2022
ACEPEN_HF_12_1,ACEPEN,HF,12,1,23.89260658,304.5193098,2019
BETPOP_GR_A_1,BETPOP,GR,A,1,22.10165184,305.1452057,2019
VIBCAS_WM_4_1,VIBCAS,WM,4,1,15.2578191,305.3940217,2019
SPIALB_WM_2A_2,SPIALB,WM,2A,2,28.66799205,305.6821635,2019
ACESPI_GR_4_2,ACESPI,GR,4,2,28.70203438,305.7379518,2019
SPIALB_SH_1_1,SPIALB,SH,1,1,29.92063492,305.7861796,2019
ALNINC_HF_5_1,ALNINC,HF,5,1,17.95847547,306.0115191,2019
VIBCAS_SH_5A_1,VIBCAS,SH,5A,1,15.00965795,306.0721764,2022
DIELON_WM_1A_1,DIELON,WM,1A,1,26.86236642,306.1489949,2019
VIBCAS_WM_9A_2,VIBCAS,WM,9A,2,15.89852791,306.2419371,2019
VIBCAS_WM_9A_1,VIBCAS,WM,9A,1,16.62821523,306.4778217,2019
SPIALB_SH_4B_1,SPIALB,SH,4B,1,31.27299485,306.4952639,2019
MYRGAL_SH_2A_1,MYRGAL,SH,2A,1,27.60606061,306.9291583,2022
SORAME_GR_9D_2,SORAME,GR,9D,2,24.28047145,307.3535792,2019
MYRGAL_WM_6A_1,MYRGAL,WM,6A,1,22,307.871526,2019
BETPAP_SH_1A_2,BETPAP,SH,1A,2,12.27122786,307.8977561,2022
SPIALB_HF_2_2,SPIALB,HF,2,2,33.41266468,307.9842932,2019
SAMRAC_GR_7A_2,SAMRAC,GR,7A,2,17.52053113,308.1949173,2022
VIBCAS_SH_1A_2,VIBCAS,SH,1A,2,17.76678594,308.5064935,2019
