Ind,Plot,2.27.18,3.5.18,3.23.18,3.27.18,3.30.18,4.3.18,4.6.18,4.10.18,4.13.18,4.17.18,4.20.18,4.24.18,4.26.18,5.1.18,5.4.18,5.8.18,5.11.18,5.15.18,5.18.18,5.22.18,5.25.18,5.29.18,5.31.18,6.5.18,6.8.18,6.12.18,6.15.18,6.19.18,6.22.18,6.26.18,6.29.18,7.3.18,7.6.18,7.10.18,7.13.18,7.16.18,7.19.18,7.23.18,7.27.18,7.30.18,8.1.18,8.7.18,8.9.18,8.13.18,8.16.18,8.20.18,8.23.18,8.27.18,8.30.18,9.3.18,9.6.18,9.10.18,9.13.18,9.17.18,9.20.18,9.25.18,9.27.18,10.1.18,10.4.18,10.8.18,10.15.18,10.24.18,10.31.18,11.7.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALNINC05_WM,2,,,,,,,,7-D,7,7,7,9,11,15,17,19,,,,,,,,,,,,,,,,,,,,,,100-m,100-m,100-m,100-m,100-m,"100-m,100","100-m,100","100-m,100","100-m,100","100-m,100","100-m,100","100-m,100","100-m,100","100-m,100","102,100-m,90",100-m,"90,100-m","100-m,90","100-m,91","100-m,91","100-m,92","100-m,92","100-m,92","101-m,92","102-m,92",95,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACEPEN12_HF,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETALL09_GR,3,,,,,,,7,7,7,7,7,9,9,9,15,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,101,102,,,90,90,90,91,92,94,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPAP16_HF,3,,,,,,,,,7,7,9,11,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,101,101,101,102,92,92,93,93,94,95,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMECAN10_GR,3,,,,,,9,9,9,9,9,9,11,"51,11","51,15","65,19","67,19",69,71,,75,78,78,79,79,79,79,79,79,79,,,100,100,100,101,,,,,,,,,,,,,,,,,90,"67,90","67,90","92,71","92,69",92,93,94,95,96,98,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALNINC11_GR,3,,,,,,,,,9,9,9,11,15,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,101,101,101,101,101,101,102,,,90,91,92,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETALL04_SH,3,,,,,,,,7,9,9,9,9,9,9,15,17,19,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,101,101,101,101,101,101,101,102,92,92,92,92,92,94,96,97,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPOP05_GR,3,,,,,,,,,9,9,9,9,11,15,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,101,101,101,101,101,101,101,102,90,90,92,93,94,94,96,97,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETALL12_GR,3,,,,,,,,,7,7,7,9,9,15,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,101,101,101,101,"90,101","90,101","102,90",90,92,94,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALNINC05_SH,3,,,,,69-F,,,7-D,,7,7,9,11,15,19,19,,,,,,,71,,75,75,77,77,78,78,79,"79,100-m","79, 100-m","79,100-m","79,100-m","79,100-m","79,100-m","79,100-m","79,100-m","79,100-m","79,100-m","81,100-m","85,100-m,100","88,100-m,100","88,100-m,100","85,100-m,100","85,100-m,100","83,100-m,100","83,100-m,100","83,100-m,100","83,100-m,100","100,84,100-m","100,84,100-m","100,84,100-m","100,8,100-m","101,101-m,83","101,100-m,83","101-m,102,86","101-m,89",101-m,"102-m,92",94,94,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPAP08_GR,3,,,,,,,,7-D,9,9,9,9,11,11,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,101,101,101,101,101,102,,92,92,92,92,93,94,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMECAN10_GR,3,,,,,,,9,9,9,9,11,11,"51,11","51,17","65,19","67,19",69,71,,75,78,78,79,79,79,79,79,79,79,87,89,,,,100,100,100,100,,101,,,,,,,,,,,,,,90,90,90,90,94,94,95,96,97,98,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETALL01_GR,3,,,,,,,,,,,7,9,11,11,17,19,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,"102,90",90,90,92,92,92,92,92,92,92,94,94,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
