"Species","Plot","Location","GH","site"
"ACESPI_WM",13,"none","","WM"
"SORAME_HF",13,"none","","HF"
"SAMRAC_HF",13,"CG","","HF"
"ACESPI_WM",13,"none","","WM"
"DIELON_HF_1",13,"CG","","HF"
"SORAME_SH_1",13,"CG","","SH"
"DIELON_GR_8",13,"CG","","GR"
"ACESPI_GR",13,"none","","GR"
"DIELON_HF_2",13,"CG","","HF"
"DIELON_HF_2",13,"CG","","HF"
"ACESPI_GR",13,"none","","GR"
"ACESPI_WM",13,"none","","WM"
"SAMRAC_SH",13,"none","","SH"
"DIELON_SH_2",13,"CG","","SH"
"ACESPI_WM",13,"none","","WM"
"SORAME_WM",13,"none","","WM"
"SORAME_WM",13,"none","","WM"
"SAMRAC_HF",13,"CG","","HF"
"SORAME_SH",13,"none","","SH"
"SAMRAC_HF",13,"CG","","HF"
"DIELON_SH_2",13,"CG","","SH"
"BETALL_HF",15,"none","","HF"
"BETALL_HF",15,"none","","HF"
"ALNINC_SH_7",15,"CG","","SH"
"BETPOP_SH",15,"none","","SH"
"AMECAN_SH",15,"none","","SH"
"AMECAN_SH",15,"none","","SH"
"ACEPEN_GR",15,"none","","GR"
"ACEPEN_GR",15,"none","","GR"
"ALNINC_HF_9",15,"CG","","HF"
"ACEPEN_GR",15,"none","","GR"
"BETPOP_WM_7",15,"CG","","WM"
"BETPOP_SH",15,"none","","SH"
